авторы <10 песен 21.01.11
Агельменев Кирилл
Адаменко Николай
Айзенберг Александр
Акимов Игорь
Алексеев Сергей
Антонов Иван
Аринчин Сергей
Афанасьев Валерий
Баканов Константин
Басовский Наум
Бейгин Геннадий 
Белецкая Ирина
Белецкий Валентин
Борисов Владимир
Бортников Владимир
Будагов Ануар
Булгаков Сергей
Бурнаевский Александр
Бычков Александр
Васильева Галина
Вентрович Александр
Вишневский Владимир
Владимирова Лариса
Воденников А.
Волков Александр
Волков Андрей
Волков Андрей (г. Саров)
Волков-Китаин Владимир
Гайдаш Сергей
Гальперштейн Яков
Гальский
Гасилов Александр
Герштейн Лариса
Глазов Илья
Гольцман Татьяна
Гусаров Андрей
Денисов Василий
Деорди Борис
Духовный Леонид
Ерошкин Валентин
Железцов Александр
Жукова Ирина
Зонов Никита
Иванов Валерий
Ивановский Николай
Имамалиев Ибрагим
Ицков Р.
Ишкулова Надежда
Капралов Александр
Карабинская София
Карпенко Александр
Карташкин Валерий
Князева Н.
Конышева Людмила
Костарев Александр
Кулагина Ольга
Куни Аркадий
Куркова Анна
Левитин Юрий
Лихтерман Аида
Мальгин А
Матвеев Андрей
Махотин Сергей
Миляев Валерий
Морозовский Роман
Неман Анатолий
Непогодин Стас
Нирман Леонид
Новожилов Вадим
Нырков Сергей
Оленёв Илья
Орлов Дмитрий
Охапкин Александр
Парчин Борис
Пеньтюк Виктор
Первакова Светлана
Песковский Юрий
Подберезин Борис
Полунин В.
Простаков Николай
Рецептер Владимир
Роднов Лев
Розанов Сергей
Розенблат Анатолий
Рубцов Николай
Рыков Юрий
Рысев Борис
Рябов Владимир
Рязанов Эльдар
Самойлов (Вадим)
Санина Ярослава
Сапожников Юрий
Саран Владимир
Саруханов Валерий
Саульский Сергей
Сафонов Дмитрий
Сачковский Валерий
Селиверстов Андрей
Семененко Михаил
Синельников Сергей
Скоров Валерий
Слепакова Нонна
Сметанин Николай
Смирнов Андрей
Смирнов Юрий
Степаненко Кирилл
Степанов Антон
Сурганова Светлана
Тайгин Борис
Тимофеев Александр
Трегуб А.
Тропышко Алексей
Турьянский Алексей
Ураков Виталий
Харченко Владимир
Хохликов Юрий
Цветков Павел
Цывкин Владимир
Чемирзова Ольга
Шангин-Березовский Генадий
Шантгай Екатерина
Шахнович Борис
Штромило Николай
Щукин Артём
Яблонский Андрей
